context,assay,G0_mM,hours,pair_id,size_decile,stratum_median_bg_z_low,stratum_median_bg_z_high,n_cells_low,n_cells_high,high_minus_low_bg_z
J00 mixture,J00 mixture,0.1,40,SUM159_J00_Competition_F5_3_01d16h00m,8,0.529936291948506,0.414917627744762,10,12,-0.115018664203744
J00 mixture,J00 mixture,0.1,40,SUM159_J00_Competition_F5_3_01d16h00m,9,0.729162770003651,0.255450125072767,11,13,-0.473712644930884
J00 mixture,J00 mixture,0.1,40,SUM159_J00_Competition_F5_3_01d16h00m,10,0.497939298323992,0.177695052199764,18,23,-0.320244246124228
J00 mixture,J00 mixture,0.1,40,SUM159_J00_Competition_G5_4_01d16h00m,1,1.51473317081697,0.684098426016701,12,14,-0.830634744800267
J00 mixture,J00 mixture,0.1,40,SUM159_J00_Competition_G5_4_01d16h00m,2,0.928356569005359,0.787755605759005,11,16,-0.140600963246354
J00 mixture,J00 mixture,0.1,40,SUM159_J00_Competition_G5_4_01d16h00m,3,0.908023410632305,0.736601972344456,18,15,-0.171421438287849
J00 mixture,J00 mixture,0.1,40,SUM159_J00_Competition_G5_4_01d16h00m,7,0.571352542872289,0.801006667467337,11,12,0.229654124595048
J00 mixture,J00 mixture,0.1,40,SUM159_J00_Competition_G5_4_01d16h00m,8,0.743678742408054,0.246107234521404,11,19,-0.49757150788665
J00 mixture,J00 mixture,0.25,32,SUM159_J00_Competition_F7_1_01d08h00m,1,0.620384980816921,0.657117030627392,24,25,0.0367320498104708
J00 mixture,J00 mixture,0.25,32,SUM159_J00_Competition_F7_1_01d08h00m,2,0.816042720985686,0.559305627926767,22,26,-0.256737093058919
J00 mixture,J00 mixture,0.25,32,SUM159_J00_Competition_F7_1_01d08h00m,3,0.654720654234398,0.55346631870116,20,26,-0.101254335533238
J00 mixture,J00 mixture,0.25,32,SUM159_J00_Competition_F7_1_01d08h00m,4,0.595856314263326,0.556396379414925,17,24,-0.0394599348484008
